competition,year,topic,name,pages,size,converted,path,sha256
MathorCup,2012,综合,Problem_B（Word转PDF）.pdf,1,14476,True,6-1优秀论文库/MathorCup/2012/综合/Problem_B（Word转PDF）.pdf,615c1b4fb61556e38686efc6aa75a55d55e3dde4b2425efff2a7739a4b459bae
MathorCup,2012,A题,A题最佳飞行队列（Word转PDF）.pdf,1,70382,True,6-1优秀论文库/MathorCup/2012/A题/A题最佳飞行队列（Word转PDF）.pdf,3444c4574c8b4c09cc8a900fdaf94fab6255d371fef18b128ba69c2cdc8a4fde
MathorCup,2012,综合,Commitment（Word转PDF）.pdf,1,83137,True,6-1优秀论文库/MathorCup/2012/综合/Commitment（Word转PDF）.pdf,1c4d7870a6ad0c8ce50506969b1efd31f607863c029cce6bc876524f889a35b7
MathorCup,2012,综合,Formate（Word转PDF）.pdf,1,62726,True,6-1优秀论文库/MathorCup/2013/综合/Formate（Word转PDF）.pdf,fbac0deb45874fde5a50598649ba61970fac6b789ea7b150b4f54ee6c69db779
MathorCup,2012,B题,B题公司业务数据分析（Word转PDF）.pdf,1,75723,True,6-1优秀论文库/MathorCup/2012/B题/B题公司业务数据分析（Word转PDF）.pdf,a5982c9d22a4316905f18d1091813d3f7da7a1f12e22ddf01f73f7129e601949
MathorCup,2012,综合,论文格式（Word转PDF）.pdf,1,158981,True,6-1优秀论文库/MathorCup/2013/A题/论文格式（Word转PDF）.pdf,5bfecf372c6557e97208ab39d0ed0a3008c86adb3717d95b66de01c30d9b19af
MathorCup,2012,综合,Problem_C（Word转PDF）.pdf,1,10792,True,6-1优秀论文库/MathorCup/2012/综合/Problem_C（Word转PDF）.pdf,67080fd078b6184bf291af56e7558c8d3f72493e1860b888fd48915054465614
MathorCup,2012,综合,2012Mathorcup竞赛通知（Word转PDF）.pdf,2,132000,True,6-1优秀论文库/MathorCup/2012/综合/2012Mathorcup竞赛通知（Word转PDF）.pdf,f9267f7155d441dc88796b87b8dbca4c92ec54f0e17a283b629bf6442e192161
MathorCup,2012,综合,1061 c（Word转PDF）.pdf,41,1224431,True,6-1优秀论文库/MathorCup/2012/综合/1061 c（Word转PDF）.pdf,188ba75c393aa7f674009ec129654a63502e18352bc0e1b37f6ec257c1ffaa63
MathorCup,2012,综合,1010c.pdf,25,846805,False,6-1优秀论文库/MathorCup/2012/综合/1010c.pdf,743e8e828adf42142f25a8944acb552e68b59be49db744db1fb656e7a42a2c7e
MathorCup,2012,综合,承诺书（Word转PDF）.pdf,1,75882,True,6-1优秀论文库/MathorCup/2012/综合/承诺书（Word转PDF）.pdf,ae545ac34af479097e18f0ddab60a80754542ccb43d52e788c24356c12783a6c
MathorCup,2012,综合,Problem_A（Word转PDF）.pdf,1,11962,True,6-1优秀论文库/MathorCup/2012/综合/Problem_A（Word转PDF）.pdf,4da11f0805dd63cd100a0882a007f7ce3c1519fc673ff78cca03c9f3853f04ce
MathorCup,2012,C题,C题（Word转PDF）.pdf,1,68620,True,6-1优秀论文库/MathorCup/2012/C题/C题（Word转PDF）.pdf,df90a4d83729b659e062da76d26e9c26ed2aee1c7019d51a3b412c9f7f118fa0
MathorCup,2012,综合,1049论文（Word转PDF）.pdf,21,745129,True,6-1优秀论文库/MathorCup/2012/综合/1049论文（Word转PDF）.pdf,69c902f5c2713e082b6d73d195391eea06b2a1ef3941881281254ca0c3df7a4e
MathorCup,2012,综合,1081c（Word转PDF）.pdf,18,833051,True,6-1优秀论文库/MathorCup/2012/综合/1081c（Word转PDF）.pdf,1b6871554e02d33aa4cc54511d0db93a6d8262f3457138b3b860e853d5989a76
MathorCup,2012,综合,Paper（Word转PDF）.pdf,2,41646,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/Paper（Word转PDF）.pdf,51f6371ceed99e8d453179e51f4c0feb3a9b8fba508930e1b24b9543613d3d95
MathorCup,2012,综合,2012mgmmc（Word转PDF）.pdf,3,136095,True,6-1优秀论文库/MathorCup/2012/综合/2012mgmmc（Word转PDF）.pdf,6a21f7cb8d8cd7db275a8a2c747908e8d7f2b22cce594c1532f815fadb490651
MathorCup,2012,综合,论文（Word转PDF）.pdf,2,68511,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/论文（Word转PDF）.pdf,625b50639060f4a35771e61960f70f513394e534f0a2b437d47723055b92c3c2
MathorCup,2013,A题,A题中文题目（Word转PDF）.pdf,2,177029,True,6-1优秀论文库/MathorCup/2013/A题/A题中文题目（Word转PDF）.pdf,31dc8d877fabd3187da9775e575826c2f343ab365661ee0547dc34b2a7d9daf3
MathorCup,2013,C题,承诺书（Word转PDF）.pdf,1,75866,True,6-1优秀论文库/MathorCup/2013/A题/承诺书（Word转PDF）.pdf,1802b5027c81c6b43c12772d68ec327e674a58d9f6b9d5c96428ef5cec2e66b7
