FORWARD_TEXT_FORMAT_1.0
STDEP =   159.1000
ENDEP =   899.1000
RLEV  =     0.1250
CURVENAME =  RML, RMN, CAL, CNL, DEN, RILD, RILM, RLL8, DSP, SP, DEVI, AZIM, SP1, MMD, GR, AC, SP%, cal%, rml%, rmn%, GR%, AC%, MMD%, rild%, rilm%, rll8%, DSP%, den%, cnl%, SP1%, R4.0, R4.0%, PORW, PORT, PORR, PORF, PERM, SW, SH, SXO, POR, SPC, RT, PW, POW, PO, YO, YOW, YW, CARB, CENG, FO, FOW, FW, CID, CIM, CIL8, THK, PORD, PORC, PP
END
#DEPTH           RML        RMN        CAL        CNL        DEN       RILD       RILM       RLL8        DSP         SP       DEVI       AZIM        SP1        MMD         GR         AC        SP%       cal%       rml%       rmn%        GR%        AC%       MMD%      rild%      rilm%      rll8%       DSP%       den%       cnl%       SP1%       R4.0      R4.0%       PORW       PORT       PORR       PORF       PERM         SW         SH        SXO        POR        SPC         RT         PW        POW         PO         YO        YOW         YW       CARB       CENG         FO        FOW         FW        CID        CIM       CIL8        THK       PORD       PORC         PP
 159.1000   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    181.682  -9999.000  -9999.000     83.553  -9999.000  -9999.000  -9999.000    188.601   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.2250   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    181.785  -9999.000  -9999.000     84.428  -9999.000  -9999.000  -9999.000    188.665   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.3500   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    181.877  -9999.000  -9999.000     85.501  -9999.000  -9999.000  -9999.000    188.717   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.4750   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    181.966  -9999.000  -9999.000     86.305  -9999.000  -9999.000  -9999.000    188.757   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.375  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.6000   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    182.051  -9999.000  -9999.000     86.784  -9999.000  -9999.000  -9999.000    188.786   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.7250   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    182.134  -9999.000  -9999.000     87.129  -9999.000  -9999.000  -9999.000    188.810   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.125  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.8500   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    182.217  -9999.000  -9999.000     87.462  -9999.000  -9999.000  -9999.000    188.829   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 159.9750   -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    182.297  -9999.000  -9999.000     87.771  -9999.000  -9999.000  -9999.000    188.841   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 160.1000   -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    182.381  -9999.000  -9999.000     88.046  -9999.000  -9999.000  -9999.000    188.845  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 160.2250   -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    182.471  -9999.000  -9999.000     88.282  -9999.000  -9999.000  -9999.000    188.842  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
