FORWARD_TEXT_FORMAT_1.0
STDEP =    15.0000
ENDEP =   980.0000
RLEV  =     0.1250
CURVENAME =  DEVI, AZIM, DEN, SP1, Rll8, RILD, RILM, GR, MMD, AC, CNl, RML, RMN, SP, sp%, ac%, gr%, mmd%, den%, CNL%, rild%, rilm%, rll8%, sp1%, RML%, RMN%, r4.0%, r4.0, PORW, PORT, PORR, PORF, PERM, SW, SH, SXO, POR, SPC, RT, PW, POW, PO, YO, YOW, YW, CARB, CENG, FO, FOW, FW, CID, CIM, CIL8, THK, PORD, PORC, PP, CAL, cal%
END
#DEPTH          DEVI       AZIM        DEN        SP1       Rll8       RILD       RILM         GR        MMD         AC        CNl        RML        RMN         SP        sp%        ac%        gr%       mmd%       den%       CNL%      rild%      rilm%      rll8%       sp1%       RML%       RMN%      r4.0%       r4.0       PORW       PORT       PORR       PORF       PERM         SW         SH        SXO        POR        SPC         RT         PW        POW         PO         YO        YOW         YW       CARB       CENG         FO        FOW         FW        CID        CIM       CIL8        THK       PORD       PORC         PP        CAL       cal%
  15.0000   -9999.000  -9999.000   -999.250    149.873 19957540.000      4.904 20000000.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000 789704128.000 791959232.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.1250   -9999.000  -9999.000   -999.250    149.025 20000000.000      4.892 20000000.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.291 20000000.000     68.796    184.075  -9999.000  -9999.000  22169.625 17303562.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.2500   -9999.000  -9999.000  -9999.000    147.768 20000000.000      4.883 20000000.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.291 20000000.000     68.796    184.075  -9999.000  -9999.000   6040.284   6414.021      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.3750   -9999.000  -9999.000  -9999.000    147.467 20000000.000      4.895 20000000.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.259 20000000.000     60.171    184.881  -9999.000  -9999.000   9550.582   9464.726      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.5000   -9999.000  -9999.000  -9999.000    147.582  62136.770      4.982 20000000.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.221 20000000.000     84.431    187.274  -9999.000  -9999.000   3295.050   3456.104      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.6250   -9999.000  -9999.000  -9999.000    148.112  43388.586      4.969 20000000.000  -9999.000  -9999.000  -1868.546  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.231 20000000.000    105.481    189.385  -9999.000  -9999.000   1264.867   1319.749      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.7500   -9999.000  -9999.000  -9999.000    150.500 19944914.000      4.927 20000000.000  -1984.546  -2022.542  -1868.546  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.247 20000000.000    141.592    192.309  -9999.000  -9999.000     98.793    131.817      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  15.8750   -9999.000  -9999.000  -9999.000    152.375 20000000.000      4.883 20000000.000  -1984.546  -2022.542    199.039  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.260 20000000.000    159.205    195.593  -9999.000  -9999.000   -145.622   -138.385      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  16.0000   -9999.000  -9999.000  -9999.000    154.766 20000000.000      4.878 20000000.000     50.750    -27.947    200.788  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.289 20000000.000    113.000    203.253  -9999.000  -9999.000   -334.742   -328.899      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
  16.1250   -9999.000  -9999.000  -9999.000    157.535 20000000.000      4.908 20000000.000     53.526     49.316    199.797  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      4.316 20000000.000    100.108    207.598  -9999.000  -9999.000 -8470300.000 -8197716.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000   9999.000   9999.000  -9999.000  -9999.000  -9999.000
