FORWARD_TEXT_FORMAT_1.0
STDEP =   155.7250
ENDEP =   965.4750
RLEV  =     0.1250
CURVENAME =  RML, RMN, CAL, R4.0, SP1, RILD, RILM, RLL8, SP, DEVi, AZIm, DEN, CNL, GR, AC, CNL%, R4.0%, DEN%, RILD%, RILM%, RLL8%, CAL%, RML%, RMN%, GR%, AC%, SP%, PORW, PORT, PORR, PORF, PERM, SW, SH, SXO, POR, SPC, RT, PW, POW, PO, YO, YOW, YW, CARB, CENG, FO, FOW, FW, CID, CIM, CIL8, THK, PORD, PORC, PP
END
#DEPTH           RML        RMN        CAL       R4.0        SP1       RILD       RILM       RLL8         SP       DEVi       AZIm        DEN        CNL         GR         AC       CNL%      R4.0%       DEN%      RILD%      RILM%      RLL8%       CAL%       RML%       RMN%        GR%        AC%        SP%       PORW       PORT       PORR       PORF       PERM         SW         SH        SXO        POR        SPC         RT         PW        POW         PO         YO        YOW         YW       CARB       CENG         FO        FOW         FW        CID        CIM       CIL8        THK       PORD       PORC         PP
 155.7250   -9999.000  -9999.000   -999.250   -999.250    209.455   -999.250   -999.250   -999.250    259.709  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 155.8500   -9999.000  -9999.000   -999.250   -999.250    207.726   -999.250   -999.250   -999.250    258.954  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 155.9750   -9999.000  -9999.000   -999.250   -999.250    206.923   -999.250   -999.250   -999.250    257.923  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.1000   -9999.000  -9999.000  -9999.000   -999.250    206.046   -999.250   -999.250   -999.250    257.665  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.2250   -9999.000  -9999.000  -9999.000   -999.250    205.645   -999.250   -999.250   -999.250    257.786  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.3500   -9999.000  -9999.000  -9999.000   -999.250    205.294   -999.250   -999.250   -999.250    258.160  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.4750   -9999.000  -9999.000  -9999.000   -999.250    205.294   -999.250   -999.250   -999.250    259.292  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.6000   -9999.000  -9999.000  -9999.000   -999.250    205.544   -999.250   -999.250   -999.250    260.222  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.7250   -9999.000  -9999.000  -9999.000   -999.250    205.845   -999.250   -999.250   -999.250    261.410  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 156.8500   -9999.000  -9999.000  -9999.000   -999.250    206.547   -999.250   -999.250   -999.250    262.340  -9999.000  -9999.000   -999.250   -999.250  -9999.000  -9999.000   -999.250   -999.250   -999.250   -999.250   -999.250   -999.250  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
