孔型: A
X 1000  Y 243600
X -10000  Y 301000
X -100200  Y 246000
X -100200  Y 322400
X -101200  Y 122800
X -101324  Y 265174
X -101324  Y 268324
X -101324  Y 271474
X -101324  Y 274623
X -101324  Y 277773
X -101324  Y 284072
X -101324  Y 287222
X -101324  Y 293521
X -101324  Y 296670
X -101324  Y 299820
X -101400  Y 306200
X -101400  Y 315600
X 10200  Y 242600
X 102000  Y 246000
X 102000  Y 269600
X 102000  Y 297200
X 102000  Y 301200
X 102000  Y 305000
X 102000  Y 309000
X 102000  Y 312800
X 102000  Y 316800
X 102000  Y 320800
X 102000  Y 324800
X 102000  Y 328600
X 102000  Y 332600
X 102000  Y 336400
X 102000  Y 340400
X 102000  Y 344400
X 102000  Y 348400
X -103200  Y 121200
X 103400  Y 247800
X 103400  Y 271600
X 103600  Y 295200
X 103600  Y 299200
X 103600  Y 303000
X 103600  Y 307000
X 103600  Y 311000
X 103600  Y 314800
X 103600  Y 318800
X 103600  Y 322800
X 103600  Y 326600
X 103600  Y 330600
X 103600  Y 334400
X 103600  Y 338400
X 103600  Y 342400
X 103600  Y 346200
X 103600  Y 350200
X -10400  Y 318600
X -104474  Y 265174
X -104474  Y 271474
X -104474  Y 274623
X -104474  Y 280922
X -104474  Y 287222
X -104474  Y 293521
X -104474  Y 296670
X -104474  Y 299820
X -104474  Y 306119
X -104474  Y 309269
X -104474  Y 312418
X -104800  Y 233400
X -105000  Y 122800
X -107000  Y 121200
X -107000  Y 383400
X -107600  Y 312400
X -107623  Y 265174
X -107623  Y 268324
X -107623  Y 271500
X -107623  Y 274623
X -107623  Y 277773
X -107623  Y 281000
X -107623  Y 287222
X -107623  Y 296670
X -107623  Y 299820
X -107623  Y 306119
X -107623  Y 309269
X -107700  Y 284000
X -107700  Y 293500
X -108800  Y 248000
X -109000  Y 122800
X 11000  Y 123000
X -11000  Y 267000
X -110688  Y 246000
X -110700  Y 271500
X -110773  Y 265174
X -110773  Y 268324
X -110773  Y 274623
X -110773  Y 293521
X -110773  Y 296670
X -110773  Y 299820
X -110773  Y 309269
X -110800  Y 290200
X -110800  Y 306000
X -111000  Y 121200
X -112000  Y 518600
X -113000  Y 122800
X -113922  Y 268324
X -113922  Y 284072
X -113922  Y 287222
X -113922  Y 293521
X -113922  Y 296670
X -113922  Y 299820
X -113922  Y 302970
X -113922  Y 306119
X -113922  Y 309269
X -113922  Y 312418
X 114000  Y 137600
X 114000  Y 141600
X 114000  Y 145600
X 114000  Y 149400
X 114000  Y 153400
X 114000  Y 157200
X 114000  Y 161400
X 114000  Y 169200
X 114000  Y 173200
X 114000  Y 177000
X 114000  Y 181000
X 114000  Y 185000
X 114000  Y 188800
X 114000  Y 192800
X -115000  Y 121200
X -11600  Y 320600
X 116000  Y 135800
