source,competition,year,topic,kind,status,target,sha256,size
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/中山C(压缩版）.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/中山C(压缩版）.pdf,df95f4a7395abcefeab84195ebb4fc237a2f8933305ba4299bee6f85c4604576,534298
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/信息工程大学电子技术学院的研究生建模竞赛获奖论文实用下料数学模型.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/信息工程大学电子技术学院的研究生建模竞赛获奖论文实用下料数学模型.pdf,1cde15d03761c619708876c6c7f0af8c529ba9b63df4b30a7b5237025ad3a58e,386574
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/华东理工大学数模竞赛472队的论文.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/华东理工大学数模竞赛472队的论文.pdf,0a8ed5595945888ab999cff5032af9cda8785e6de5f2b18d3168fa586d2ce2cc,297709
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/南京大学论文.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/南京大学论文.pdf,5f82e5b258ee07a9d0006c40fbcc4e99499e2971a5a6cfb6eb36ca24a825d188,429264
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/厦门大学研究生建模论文.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/厦门大学研究生建模论文.pdf,19ef2414c752e48cc10bbf67f86e6433cb0bb87b185c8a14a1f3445dbff0573b,471985
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/售后服务数据的应用.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/售后服务数据的应用.pdf,2e88af9be633ad838175e6b9a503a12f308eece5be72a0982e2b69daaf48171b,400135
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/武汉大学竞赛论文（10面）研究.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/武汉大学竞赛论文（10面）研究.pdf,b7872806ced50b4e0c4160cde644ba6c42122abf522ec7357ad25d43af965422,542973
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/王文娟论文基于最大满意度的研究生录取问题（new).pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/王文娟论文基于最大满意度的研究生录取问题（new).pdf,31abd32a42c83e5caa6d2811ca780f610461b935b7480669c33e2abec0646540,334818
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/目标定位最优布局的研究（王郑耀，汪洪武，杨敏）.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/目标定位最优布局的研究（王郑耀，汪洪武，杨敏）.pdf,cfb2e6089aa2983f94982e5ae33bf4f967c987d050f79053bfb3fe691bdf0dd2,1464223
04-25年优秀论文/2004年研究生数学建模竞赛优秀论文选/装甲兵研究生录取问题（投稿）.pdf,研究生数学建模,2004,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2004/综合/装甲兵研究生录取问题（投稿）.pdf,05ab4479790d853e647706cea50a5cfa183c47193daabd9927093fcc144eed1e,315738
